�Ⱓ,SMP
Aug-22,196.02
Jul-22,150.6
Jun-22,128.84
May-22,139.06
Apr-22,201.58
Mar-22,192.34
Feb-22,196.93
Jan-22,153.82
Dec-21,142.46
Nov-21,126.83
Oct-21,107.53
Sep-21,98.21
Aug-21,93.41
Jul-21,87.04
Jun-21,82.72
May-21,78.93
Apr-21,75.97
Mar-21,83.78
Feb-21,75.25
Jan-21,70.47
Dec-20,66.98
Nov-20,49.65
Oct-20,50.23
Sep-20,55.43
Aug-20,62.33
Jul-20,70.96
Jun-20,70.58
May-20,70.45
Apr-20,74.78
Mar-20,83.05
Feb-20,81.6
Jan-20,84.26
Dec-19,83.72
Nov-19,81.13
Oct-19,87.47
Sep-19,78.73
Aug-19,83.93
Jul-19,78.9
Jun-19,77.67
May-19,78.99
Apr-19,98.93
Mar-19,112.1
Feb-19,105.5
Jan-19,110.78
Dec-18,109.34
Nov-18,104.59
Oct-18,101.82
Sep-18,92.14
Aug-18,90.28
Jul-18,86.58
Jun-18,89.29
May-18,87.22
Apr-18,90.54
Mar-18,101.15
Feb-18,90.3
Jan-18,91.8
Dec-17,90.41
Nov-17,81.15
Oct-17,72.41
Sep-17,72.82
Aug-17,75.91
Jul-17,76.3
Jun-17,82.33
May-17,78.76
Apr-17,74.88
Mar-17,91.67
Feb-17,90.76
Jan-17,86.1
Dec-16,86.76
Nov-16,74.83
Oct-16,73.27
Sep-16,71.3
Aug-16,71.43
Jul-16,66.79
Jun-16,65.15
May-16,68.72
Apr-16,75.37
Mar-16,87.34
Feb-16,87.62
Jan-16,90.7
Dec-15,95.41
Nov-15,94.89
Oct-15,98.29
Sep-15,90.73
Aug-15,88.15
Jul-15,81.53
Jun-15,84.13
May-15,96.31
Apr-15,103.45
Mar-15,118.35
Feb-15,121.16
Jan-15,140.54
Dec-14,143.86
Nov-14,133.27
Oct-14,131.67
Sep-14,130.92
Aug-14,128
Jul-14,142.26
Jun-14,135.85
May-14,144.14
Apr-14,150.54
Mar-14,162.99
Feb-14,153.16
Jan-14,142.61
